Box,Section,x,y,type, poly,edge(EDI),altitude(m),aspect,northness,habitat type,soil type
P20,P,446835.33,207587.71,G,3491.13,8.17722,128.523,7.86617,0.990590444,2,1
SW88,SW,447468.33,207292.71,G,3494.81,25.3914,141.633,64.4686,0.431005679,3,1
MP79,MP,448367.72,207167.76,G,3524.51,14.2462,76.8505,78.6639,0.196563955,3,3
W47,W,446079.33,209309.71,G,3527.99,184.679,72.9687,29.9592,0.866381231,5,3
SW30,SW,446515.33,207463.71,G,3536.88,85.9661,142.419,14.5866,0.967768097,3,1
SW42,SW,446590.33,207468.71,G,3543.99,62.1551,141.625,38.4619,0.783021938,5,1
EX81A,EX,445778.33,208354.71,G,3544.57,206.572,162.257,225.667,-0.698827379,5,1
SW102,SW,446220.33,207169.71,G,3555.53,46.1666,124.56,196.29,-0.959854263,3,2
B62A,B,447393.72,207640.76,G,3584.19,206.725,123.152,29.1534,0.873318576,5,2
EX85,EX,446042.33,207841.76,G,3588.38,133.487,126.706,161.059,-0.945853326,2,2
SW21,SW,446420.33,207585.71,G,3603.4,18.2152,137.683,356.51,0.998145438,3,2
O16,O,445431.72,208109.76,G,3612.18,173.5,115.536,294.245,0.410639285,2,3
O94,O,445958.33,207605.71,G,3614.51,382.012,103.2,195.709,-0.962649229,2,2
P19,P,446914.33,207609.71,G,3615.85,18.1489,123.928,356.087,0.997668821,3,2
O5,O,445176.72,208063.76,G,3618.88,12.8241,111.232,0.128858,0.999997471,5,3
C163,C,446174.33,206770.71,G,3650.1,11.0219,98.9155,213.839,-0.830605618,5,3
SW51,SW,446734.33,207470.71,G,3656.2,91.0009,140.887,26.2829,0.896618626,3,1
SW27,SW,446425.33,207512.71,G,3682.92,92.6468,141.253,349.439,0.983060333,3,1
SW90,SW,447512.33,207309.71,G,3697.94,23.9392,140.952,56.0571,0.558366421,3,1
B196,B,447723.72,207846.76,G,3713.94,132.818,91.836,25.568,0.902073708,5,3
SW124,SW,445999.33,207471.71,G,3732.48,356.772,102.655,296.08,0.439625672,2,2
CP41,CP,447001.72,208493.76,G,3770.4,83.7591,98.8621,98.0818,-0.140586744,3,2
EX47A,EX,446150.33,208758.71,G,3772.21,352.252,129.415,20.2387,0.93825958,5,1
SW44,SW,446666.33,207531.71,G,3787.6,13.2955,137.463,17.2836,0.954845879,3,1
P4,P,447188.33,207599.71,G,3800.35,206.957,130.548,342.552,0.95398947,2,1
O19,O,445340.72,208043.76,G,3807.81,134.553,117.864,2.21796,0.999250834,2,3
EX42A,EX,445869.33,208651.71,G,3859.83,330.492,142.829,12.3414,0.976891391,5,2
SW4,SW,446274.33,207845.71,G,3871.66,44.2283,139.612,150.325,-0.868847616,3,2
EX34,EX,445711.33,208853.71,G,3872.18,469.367,112.72,318.739,0.751713208,5,2
P8,P,447288.33,207788.71,G,3875.36,24.7983,112.722,217.837,-0.78975905,3,2
MP66,MP,448621.72,206914.76,G,3877.07,8.71043,63.1317,81.9797,0.139523946,3,3
W73,W,445791.33,209253.71,G,3900.37,164.855,79.8371,339.582,0.937172436,5,3
C63,C,446224.33,206926.71,G,3903.94,7.39016,110.027,235.32,-0.568992506,5,3
CP33,CP,446525.33,208860.71,G,3915.66,147.541,110.027,28.4804,0.87898029,4,2
SW115,SW,446077.33,207218.71,G,3935.58,145.127,114.472,298.786,0.481539538,2,2
SW104,SW,446208.33,207101.71,G,3936.29,62.2479,118.269,182.911,-0.998709626,2,2
MP97,MP,447796.72,207184.76,G,3938.34,4.85645,120.486,202.501,-0.923872853,3,2
SW17,SW,446303.33,207521.71,G,3944.98,148.606,139.756,319.934,0.765303497,3,1
B79A,B,447442.72,207741.76,G,3957.27,121.813,115.635,34.4843,0.824281362,2,1
MP89,MP,448096.72,207648.76,G,3958.4,9.82611,82.1434,29.7265,0.868402266,3,3
SW107,SW,446138.33,207049.71,G,3962.04,27.1396,106.582,215.898,-0.810062108,5,3
W33,W,446102.33,209511.71,G,3974.16,13.8503,62.4848,239.457,-0.508184865,5,3
O100,O,445734.33,207874.71,G,4008.4,299.93,127.312,138.819,-0.752633297,2,2
O60,O,445324.72,207450.76,G,4021.94,27.9424,84.5366,219.825,-0.76800415,4,3
MP68,MP,448478.72,206992.76,G,4030.92,103.574,71.8433,61.5303,0.476693945,3,3
EX54,EX,446607.33,208709.71,G,4035.03,96.5697,117.472,56.2146,0.556083848,4,1
EX3,EX,445602.33,208356.71,G,4056.05,299.677,149.83,282.881,0.222926861,5,1
O67,O,445493.33,207493.71,G,4077.82,119.009,91.3708,184.612,-0.99676206,4,3
MP90,MP,448077.72,207710.76,G,4085.69,44.0355,78.3301,4.15388,0.997373107,3,3
EX62C,EX,446330.33,208264.71,G,4113.15,10.9073,150.18,83.5511,0.112317039,3,1
EX48,EX,446170.25,208679.27,G,4129.27,291.349,135.443,51.0686,0.628389467,4,1
MP72,MP,448484.72,206908.76,G,4147.32,14.6011,73.6585,86.0052,0.069665937,3,3
O12,O,445404.72,208227.76,G,4151.42,104.061,109.419,283.669,0.236312453,2,3
W68,W,445861.33,209327.71,G,4152.26,117.057,70.0029,17.2758,0.954886316,5,3
EX79,EX,445837.33,208289.71,G,4171.22,152.678,163.695,267.523,-0.04321834,3,1
W1,W,446222.33,209088.71,G,4195.89,272.683,92.9029,2.3097,0.999187587,5,3
W50,W,445924.33,209323.71,G,4223.59,134.693,72.6792,338.732,0.93189396,5,3
MP77,MP,448383.72,207042.76,G,4232.27,37.9794,79.7368,72.8408,0.295027727,3,3
EX37,EX,445613.33,208723.71,G,4245.01,353.159,114.465,264.433,-0.097009674,5,3
SW116,SW,446054.33,207257.71,G,4252.78,171.186,110.687,264.109,-0.102636288,2,2
MP73,MP,448396.98,206917.97,G,4254.41,5.17682,82.8436,81.198,0.153020332,3,3
EX58,EX,446421.33,208586.71,G,4259.23,27.8015,130.984,53.4426,0.595627807,4,1
MP88,MP,448181.72,207609.76,G,4277.42,33.3345,80.2175,56.5158,0.55170701,3,3
EX62G,EX,446411.61,208050.73,G,4321.63,4.4581,139.314,99.4506,-0.164197176,3,1
O61,O,445357.72,207427.76,G,4341.75,17.5585,84.5109,179.406,-0.99994626,4,3
W21,W,446206.33,209539.71,G,4371.22,27.0666,61.4112,334.759,0.90452214,5,3
O15,O,445419.72,208178.76,G,4380.89,127.222,110.714,250.748,-0.3297236,2,3
CP22,CP,446462.33,208873.71,G,4391.1,211.327,107.726,344.423,0.963270441,4,2
SW131,SW,446202.33,207594.71,G,4405.89,223.821,118.613,300.189,0.502854009,2,2
SW1,SW,446202.33,207910.71,G,4416.32,6.38024,144.061,190.966,-0.981740239,3,2
O110,O,445880.33,207543.71,G,4440.99,348.239,98.3053,221.277,-0.751529015,2,3
W15,W,446267.33,209330.71,G,4458.06,27.8987,71.6384,337.672,0.925024171,5,3
W44,W,446005.33,209288.71,G,4467.01,183.457,77.9018,6.33302,0.99389755,5,3
O42,O,445423.72,207885.76,G,4470.91,228.003,113.087,168.938,-0.981420134,2,2
O6,O,445173.72,208103.76,G,4472.41,19.0476,104.987,339.622,0.937415762,5,3
CP42,CP,447038.72,208452.76,G,4491.86,21.4149,95.9017,96.0526,-0.105441433,3,3
C61A,C,446303.33,206992.71,G,4521.76,79.4851,115.091,145.078,-0.819932127,5,3
EX35,EX,445687.33,208804.71,G,4523.1,443.365,114.704,329.68,0.863219385,5,2
O70,O,445581.33,207542.71,G,4525.26,192.946,97.1462,156.899,-0.91981465,2,3
EX62E,EX,446325.53,208122.65,G,4526.64,2.64296,147.144,117.743,-0.465506395,3,1
EX90,EX,445791.33,207896.71,G,4534.27,239.592,128.474,178.774,-0.999771077,2,2
SW11,SW,446322.33,207639.71,G,4555.56,109.404,131.523,261.315,-0.151002028,3,2
P18,P,446946.33,207593.71,G,4557.41,36.3002,126.691,356.44,0.998070321,2,1
O77,O,445712.33,207287.71,G,4567.69,70.8952,84.8768,197.087,-0.955859706,2,3
O59,O,445394.72,207517.76,G,4568.51,113.342,92.8091,200.648,-0.935764449,4,3
SW18,SW,446358.33,207529.71,G,4577.88,101.737,140.405,344.059,0.961545022,3,1
SW118,SW,446052.33,207309.71,G,4595.36,218.619,111.511,267.331,-0.046565992,2,2
EX22,EX,446025.33,209133.71,G,4602.1,338.469,94.2817,76.4421,0.234427869,5,3
O13A,O,445385.72,208271.76,G,4611.13,84.5423,108.454,245.082,-0.421320749,2,3
O10,O,445297.72,208135.76,G,4611.66,79.039,107.634,313.924,0.693703591,2,3
MP93,MP,448018.72,207967.76,G,4614.68,33.952,69.63,62.3611,0.463897601,3,3
P15,P,447105.33,207601.71,G,4619.03,134.947,127.973,344.643,0.96429443,2,1
W83,W,445607.33,209219.71,G,4651.59,106.956,73.5575,333.947,0.898388158,5,3
EX38,EX,445634.33,208665.71,G,4738.79,358.388,118.118,309.352,0.634082927,5,2
SW56,SW,446817.33,207436.71,G,4797.65,102.739,141.277,35.1484,0.817663696,3,1
