Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201O45,o,J Haynes,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O46,o,J Haynes,False,b,6.0,True,31-05-2020,NA,NA,18-04-2020,18.0,0,7.0,NA,True,0,07-05-2020,08-05-2020,38.0,14.0,3.1,3.0,7.0,6.0,6,52.0,15.0,6.0,0,6,11.22,6,1,NA,afh3952,afh3952,NA,NA,NA,0,"FON, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O47,o,J Haynes,False,b,6.0,True,22-05-2020,NA,NA,26-04-2020,26.0,0,7.0,0.67,True,0,15-05-2020,15-05-2020,45.0,13.0,4.4,4.0,7.0,7.0,0,NA,NA,NA,7,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,abandoned nest,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O48,o,J Haynes,False,g,6.0,True,22-05-2020,True,NA,25-04-2020,25.0,0,7.0,NA,True,0,14-05-2020,15-05-2020,45.0,14.0,4.9,4.0,7.0,2.0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"FON, FON, abandoned nest",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O49,o,J Haynes,False,b,6.0,True,28-05-2020,NA,NA,15-04-2020,15.0,0,7.0,1.0,True,0,06-05-2020,05-05-2020,35.0,12.0,4.3,4.0,9.0,9.0,9,49.0,15.0,9.0,0,9,10.64,9,1,NA,avl6008,avl6008,NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O5,o,Charlotte Regan,False,b,6.0,True,07-06-2020,NA,NA,19-04-2020,19.0,0,6.0,NA,True,0,10-05-2020,10-05-2020,40.0,13.0,4.7,4.0,9.0,6.0,6,54.0,15.0,6.0,0,6,9.02,6,2,NA,and6092,"011016c3f2, and6092",NA,NA,NA,0,"fon, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O50,o,J Haynes,False,g,6.0,True,31-05-2020,NA,NA,17-04-2020,17.0,0,7.0,1.0,True,0,11-05-2020,10-05-2020,40.0,12.0,6.3,4.0,12.0,11.0,11,54.0,15.0,11.0,0,11,17.07,11,1,vz32987,ty70759,"0110176f24, ty70759",NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O51,o,J Haynes,False,b,6.0,True,29-05-2020,NA,NA,16-04-2020,16.0,0,7.0,1.0,True,0,07-05-2020,06-05-2020,36.0,12.0,4.2,4.0,9.0,9.0,9,50.0,15.0,9.0,0,9,11.39,9,2,avl3032,afh3672,"afh3672, avl3032",NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O52,o,J Haynes,False,g,6.0,True,28-05-2020,NA,NA,12-04-2020,12.0,0,7.0,1.0,True,0,02-05-2020,05-05-2020,35.0,16.0,6.7,4.0,8.0,8.0,8,49.0,15.0,8.0,0,8,18.14,8,2,vj57893,tv44478,"vj57893, tv44478",NA,NA,NA,0,"FON, FON, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O53,o,J Haynes,False,g,6.0,True,31-05-2020,NA,NA,21-04-2020,21.0,0,7.0,NA,True,0,10-05-2020,09-05-2020,39.0,11.0,NA,NA,8.0,7.0,7,53.0,15.0,7.0,0,7,18.36,7,3,tr44766,tw41866,"0110176cc4, tr44766",NA,NA,NA,0,FON,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O54,o,Charlotte Regan,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O55,o,Charlotte Regan,False,b,6.0,True,31-05-2020,NA,NA,17-04-2020,17.0,0,6.0,NA,True,0,11-05-2020,10-05-2020,40.0,12.0,4.2,4.0,12.0,11.0,11,54.0,15.0,11.0,0,11,11.25,11,2,j215667,afh4194,"01103fb246, 01103f73cb, j215667",NA,NA,NA,0,fon,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O56,o,Charlotte Regan,False,g,6.0,True,30-05-2020,NA,NA,15-04-2020,15.0,0,5.0,1.0,True,0,06-05-2020,06-05-2020,36.0,13.0,6.2,4.0,9.0,8.0,8,50.0,15.0,8.0,0,8,18.19,8,2,NA,ts44659,"0700ed8c93, ts44659",NA,NA,NA,0,fon,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O57,o,Charlotte Regan,False,b,6.0,True,07-06-2020,NA,NA,21-04-2020,21.0,0,6.0,1.0,True,0,10-05-2020,NA,NA,NA,3.3,3.0,7.0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"eggs are cold, eggs are cold, eggs are cold, eggs are cold, eggs are cold, eggs are cold",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O58,o,J Haynes,False,g,6.0,True,21-05-2020,True,NA,16-04-2020,16.0,0,7.0,1.0,True,0,08-05-2020,11-05-2020,41.0,16.0,6.8,4.0,10.0,2.0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"eggs not cold or warm, Uncovered cold eggs, uncovered cold eggs, FON, FON, nest abandoned with no eggs or chicks",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O59,o,J Haynes,False,b,6.0,True,25-05-2020,NA,NA,18-04-2020,18.0,0,7.0,1.0,True,0,10-05-2020,11-05-2020,41.0,14.0,4.5,4.0,10.0,10.0,0,NA,NA,NA,9,0,NA,0,2,NA,afh4531,"011016a337, afh4531",NA,NA,NA,0,uncovered eggs not warm or cold,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O5A,o,Charlotte Regan,False,NA,6.0,True,07-06-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O6,o,Charlotte Regan,False,g,6.0,True,15-05-2020,NA,NA,19-04-2020,19.0,0,6.0,NA,True,0,08-05-2020,11-05-2020,41.0,16.0,5.6,4.0,7.0,6.0,0,NA,NA,NA,6,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"fon, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA
