Record type,Retrap,Bto ring,Pit tag,Pit tag state,Bto species code,Age,Sex,Sexing method,Date time,Region,Location,Fieldworker,Wing length,Weight,Bill length method,Bill length,Bill depth method,Bill depth,Tarsus length method,Tarsus length,Fat,Fat method,Pectoral muscle,Pox,Leg condition description,Tick description,Comment,
Physical,New Capture,tl36080,'0300035b04',1,greti,1,,,06-06-2013 14:55,DEN,20131DMA11,Ross Crates,,20,,,,,,,,,,false,,,,
Physical,New Capture,tl36081,'0300035a7b',1,greti,1,,,06-06-2013 14:55,DEN,20131DMA11,Ross Crates,,16.3,,,,,,,,,,false,,,,
Physical,New Capture,tl36082,'0300031be0',1,greti,1,,,08-06-2013  9:20,WYT,20131MP65,Ross Crates,,19.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36083,'030001ff71',1,greti,1,,,08-06-2013  9:20,WYT,20131MP65,Ross Crates,,19.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36084,'0300033b66',1,greti,1,,,08-06-2013  9:20,WYT,20131MP65,Ross Crates,,20.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36085,'030001ad03',1,greti,1,,,08-06-2013  9:20,WYT,20131MP65,Ross Crates,,17.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36086,'030002d93a',1,greti,1,,,08-06-2013 13:25,WYT,20131H7,Ross Crates,,16,,,,,,,,,,false,,,,
Physical,New Capture,tl36087,'030003ad7e',1,greti,1,,,08-06-2013 13:25,WYT,20131H7,Ross Crates,,16.9,,,,,,,,,,false,,,,
Physical,New Capture,tl36088,'030003ade9',1,greti,1,,,08-06-2013 13:25,WYT,20131H7,Ross Crates,,15.7,,,,,,,,,,false,,,,
Physical,New Capture,tl36089,'03000389a4',1,greti,1,,,08-06-2013 13:25,WYT,20131H7,Ross Crates,,15.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36090,'0300038ed1',1,greti,1,,,08-06-2013 13:25,WYT,20131H7,Ross Crates,,18.1,,,,,,,,,,false,,,,
Physical,New Capture,tl36091,'030002b684',1,greti,1,,,08-06-2013 13:25,WYT,20131H7,Ross Crates,,15.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36092,'030002b09a',1,greti,1,,,08-08-2013 14:45,DEN,20131DMA16,Ross Crates,,17.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36093,'03000251ca',1,greti,1,,,08-08-2013 14:45,DEN,20131DMA16,Ross Crates,,18.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36094,'0300028995',1,greti,1,,,08-08-2013 14:45,DEN,20131DMA16,Ross Crates,,18,,,,,,,,,,false,,,,
Physical,New Capture,tl36095,'030002e78d',1,greti,1,,,08-08-2013 14:45,DEN,20131DMA16,Ross Crates,,18.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36096,'03000353a9',1,greti,1,,,09-06-2013  7:40,WYT,20131MP14,Ross Crates,,12.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36097,'03000352c7',1,greti,1,,,09-06-2013  7:40,WYT,20131MP14,Ross Crates,,15.2,,,,,,,,,,false,,,,
Physical,New Capture,tl36098,'',0,greti,1,,,09-06-2013  7:40,WYT,20131MP14,Ross Crates,,11.6,,,,,,,,,,false,,,,
Physical,New Capture,tl36099,'03000255e4',1,greti,1,,,09-06-2013  7:40,WYT,20131MP14,Ross Crates,,13.4,,,,,,,,,,false,,,,
Physical,New Capture,tl36100,'0300022549',1,greti,1,,,09-06-2013  7:40,WYT,20131MP14,Ross Crates,,13.8,,,,,,,,,,false,,,,
Physical,New Capture,ts45651,'030003776a',1,greti,1,,,09-06-2013  8:29,WYT,20131B29,Ross Crates,,16.1,,,,,,,,,,false,,,,
Physical,New Capture,ts45652,'030002f5c2',1,greti,1,,,09-06-2013  8:29,WYT,20131B29,Ross Crates,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,ts45653,'030002fe84',1,greti,1,,,09-06-2013  8:29,WYT,20131B29,Ross Crates,,16.1,,,,,,,,,,false,,,,
Physical,New Capture,ts45654,'030002b3a3',1,greti,1,,,09-06-2013  8:29,WYT,20131B29,Ross Crates,,15.5,,,,,,,,,,false,,,,
Physical,New Capture,ts45655,'030003c27e',1,greti,1,,,09-06-2013  8:29,WYT,20131B29,Ross Crates,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,ts45656,'030001e96d',1,greti,1,,,09-06-2013  8:29,WYT,20131B29,Ross Crates,,14.2,,,,,,,,,,false,,,,
Physical,New Capture,ts45657,'0300030b39',1,greti,1,,,09-06-2013  8:46,WYT,20131B112,Ross Crates,,17.4,,,,,,,,,,false,,,,
Physical,New Capture,ts45658,'030001bd40',1,greti,1,,,09-06-2013  8:46,WYT,20131B112,Ross Crates,,18.3,,,,,,,,,,false,,,,
Physical,New Capture,ts45659,'0300026879',1,greti,1,,,09-06-2013  8:46,WYT,20131B112,Ross Crates,,17.8,,,,,,,,,,false,,,,
Physical,New Capture,unrrunt,'',0,greti,1,,,09-06-2013  8:46,WYT,20131B112,Ross Crates,,7.3,,,,,,,,,,false,,,,
Physical,New Capture,ts45660,'030003c5d8',1,greti,1,,,09-06-2013  9:10,WYT,20131B5,Ross Crates,,16.5,,,,,,,,,,false,,,,
Physical,New Capture,ts45661,'0300025294',1,greti,1,,,09-06-2013  9:10,WYT,20131B5,Ross Crates,,16.8,,,,,,,,,,false,,,,
Physical,New Capture,ts45662,'030002b11d',1,greti,1,,,09-06-2013  9:10,WYT,20131B5,Ross Crates,,15.5,,,,,,,,,,false,,,,
