year,pnum,nestbox,clear_date,missing_entire_brood,suspected_predation,lay_date,april_lay_date,lay_date_visit_interval,laying_rate,incubation_started,num_broken_eggs,hatch_date,april_hatch_date,incubation_duration,total_egg_weight,num_eggs_weighed,clutch_size,num_chicks,num_chicks_ringed,april_ring_date,ring_day,num_live_chicks,num_dead_chicks,num_fledglings,mean_chick_weight,father,mother,resident,natal_box,year_born,bto_age,age,x,y,type,poly,edge_edi,altitude_m,aspect,northness,habitat_type,soil_type,recorded,total_recordings,missing_recordings,first_recorded,last_recorded,delay,n_vocalisations,repertoire_size
2013,20131C113,C113,2013-06-11,,,2013-04-25,25.0,6.0,,True,0,2013-05-14,44.0,13.0,7.9,4.0,7.0,7.0,2,58.0,15.0,2.0,5,2,13.15,y161048,y035838,False,,,4.0,unknown,446283.33,206575.71,G,1208.5,2.92275,85.056,175.801,-0.997315755,5.0,3.0,False,0,0,,,,0,
2013,20131C116,C116,2013-06-11,,,2013-04-26,26.0,6.0,,True,0,2013-05-16,46.0,14.0,5.3,3.0,7.0,6.0,0,,,,6,0,,tr40523,,False,,,4.0,unknown,446404.72,206597.76,G,738.513,4.56526,85.8654,173.581,-0.9937309,5.0,3.0,False,0,0,,,,0,
2013,20131C117,C117,2013-06-11,,,2013-04-28,28.0,6.0,1.0,True,0,2013-05-18,48.0,13.0,7.3,4.0,8.0,7.0,6,62.0,15.0,6.0,0,6,16.75,y161052,y161053,False,,,4.0,unknown,446435.72,206593.76,G,492.753,2.57905,85.6255,170.633,-0.986666067,5.0,3.0,False,0,0,,,,0,
2013,20131C118,C118,2013-06-13,,,2013-04-28,28.0,6.0,1.0,True,0,2013-05-19,49.0,13.0,7.4,4.0,9.0,6.0,5,63.0,15.0,5.0,0,5,17.76,y838101,r639378,False,,,6.0,adult,446455.72,206687.76,G,586.235,14.7456,90.5098,169.968,-0.984710616,5.0,3.0,False,0,0,,,,0,
2013,20131C12,C12,2013-06-11,,,2013-04-25,25.0,6.0,,True,0,2013-05-13,43.0,11.0,11.0,6.0,8.0,8.0,5,57.0,15.0,5.0,1,4,15.04,y837602,,False,,,6.0,adult,446248.33,206605.71,G,659.82,18.3412,87.4902,171.362,-0.988656988,5.0,3.0,False,0,0,,,,0,
2013,20131C122,C122,2013-05-31,,,2013-05-02,32.0,8.0,,True,0,2013-05-21,51.0,14.0,5.0,3.0,6.0,5.0,0,,,,5,0,,,l808544,,,,,,446453.72,206741.76,G,1258.23,35.3655,92.6703,174.679,-0.995690776,5.0,3.0,False,0,0,,,,0,
2013,20131C134,C134,2013-06-23,,,2013-05-12,42.0,6.0,,True,0,2013-06-01,62.0,13.0,,,8.0,7.0,7,76.0,15.0,7.0,0,7,17.64,y839210,l808549,False,,,6.0,adult,446305.72,206735.76,G,1668.17,151.087,96.5506,157.807,-0.92591674,5.0,3.0,False,0,0,,,,0,
2013,20131C137,C137,2013-05-28,,,2013-04-25,25.0,6.0,,True,0,2013-05-16,46.0,15.0,6.3,4.0,7.0,7.0,0,,,,7,0,,,l808594,,,,,,446448.52,206895.56,G,,145.258,,113.067,-0.391807272,5.0,2.0,False,0,0,,,,0,
2013,20131C138,C138,2013-06-11,,,2013-04-27,27.0,6.0,1.0,True,0,2013-05-18,48.0,15.0,5.1,3.0,7.0,7.0,7,62.0,15.0,7.0,1,6,14.73,y836952,ts45597,False,,,4.0,unknown,446475.72,206954.76,G,683.13,80.2588,100.712,195.773,-0.962346196,5.0,2.0,False,0,0,,,,0,
2013,20131C148,C148,2013-06-11,,,2013-05-01,31.0,7.0,,True,0,2013-05-18,48.0,13.0,,,5.0,5.0,4,62.0,15.0,4.0,0,4,15.35,l808053,t176944,False,,,6.0,adult,446652.33,206898.76,G,854.018,3.55454,111.202,259.803,-0.177033208,5.0,2.0,False,0,0,,,,0,
2013,20131C151,C151,2013-06-11,,,2013-04-26,26.0,6.0,,True,0,2013-05-17,47.0,15.0,5.8,3.0,7.0,6.0,0,,,,0,0,,,,,,,,,446515.72,206762.76,G,917.811,2.82369,93.8247,88.5961,0.024500226,5.0,3.0,False,0,0,,,,0,
2013,20131C154,C154,2013-06-11,,,2013-04-25,25.0,6.0,,True,0,2013-05-17,47.0,16.0,6.8,4.0,7.0,4.0,4,61.0,15.0,4.0,0,4,14.58,x805407,l315402,False,,,4.0,unknown,446591.33,206803.71,G,379.398,4.75973,100.282,251.28,-0.32094361,5.0,3.0,False,0,0,,,,0,
2013,20131C155,C155,2013-06-11,,,2013-04-24,24.0,6.0,,True,0,2013-05-15,45.0,13.0,8.2,5.0,9.0,7.0,5,59.0,15.0,7.0,0,5,11.53,l315407,l311300,False,,,4.0,unknown,446576.33,206877.71,G,1472.47,73.1767,101.742,237.181,-0.541986923,5.0,2.0,False,0,0,,,,0,
2013,20131C2,C2,2013-06-11,,,2013-05-09,39.0,6.0,,True,0,,,,4.6,3.0,6.0,,0,,,,0,0,,,,,,,,,446343.72,206896.76,G,1425.46,115.682,105.991,170.176,-0.985336515,5.0,3.0,False,0,0,,,,0,
2013,20131C24,C24,2013-06-11,,,2013-04-28,28.0,6.0,1.0,True,0,2013-05-17,47.0,14.0,6.3,5.0,6.0,6.0,0,,,,6,0,,,,,,,,,446411.72,206819.76,G,1261.82,117.061,98.0437,184.49,-0.996931012,5.0,3.0,False,0,0,,,,0,
2013,20131C3B,C3B,2013-05-26,,,2013-04-16,16.0,0.0,,True,0,2013-05-08,38.0,16.0,4.5,3.0,7.0,7.0,7,52.0,15.0,7.0,7,0,15.29,tj26160,l315401,False,,,6.0,adult,446269.33,206867.71,G,1400.61,43.9787,107.04,148.806,-0.855418503,5.0,3.0,False,0,0,,,,0,
2013,20131C41,C41,2013-06-11,,,2013-04-27,27.0,6.0,1.0,True,0,2013-05-17,47.0,14.0,5.0,3.0,7.0,5.0,5,61.0,15.0,5.0,0,5,18.76,l311268,y035971,False,,,4.0,unknown,446495.72,207026.76,G,912.918,3.86362,110.25,203.472,-0.91725483,5.0,2.0,False,0,0,,,,0,
